127.0.0.1 - - [04/Nov/2015:20:04:05 +0530] "GET / HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:04:07 +0530] "GET /MobileProj/faces/index.xhtml HTTP/1.1" 200 3054
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:04:07 +0530] "GET /MobileProj/faces/admin.png;jsessionid=88EC8E82E134A7D46B9D6F07D7537867 HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:04:07 +0530] "GET /MobileProj/faces/login.jpg HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:04:07 +0530] "GET /MobileProj/faces/gray.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:04:07 +0530] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:04:07 +0530] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:10:27 +0530] "POST /MobileProj/faces/index.xhtml;jsessionid=88EC8E82E134A7D46B9D6F07D7537867 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:10:28 +0530] "GET /MobileProj/faces/customerlogin.xhtml HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:10:28 +0530] "GET /MobileProj/faces/jquery-ui.js HTTP/1.1" 200 470596
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:10:28 +0530] "GET /MobileProj/faces/jquery.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:10:28 +0530] "GET /MobileProj/faces/jquery-ui.css HTTP/1.1" 200 35285
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:10:32 +0530] "POST /MobileProj/faces/customerlogin.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:10:32 +0530] "GET /MobileProj/faces/customerwelcome.xhtml HTTP/1.1" 500 4205
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:11:47 +0530] "POST /MobileProj/faces/customerlogin.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:11:47 +0530] "GET /MobileProj/faces/customerwelcome.xhtml HTTP/1.1" 200 4598
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:11:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:11:47 +0530] "GET /MobileProj/faces/addCss.css HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:11:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:11:47 +0530] "GET /MobileProj/faces/images/ui-bg_loop_25_000000_21x21.png HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:11:47 +0530] "GET /MobileProj/faces/images/ui-bg_highlight-soft_44_444444_1x100.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:11:47 +0530] "GET /MobileProj/faces/images/ui-bg_highlight-soft_35_222222_1x100.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:11:47 +0530] "GET /MobileProj/faces/images/ui-bg_highlight-hard_20_0972a5_1x100.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:11:48 +0530] "GET /MobileProj/faces/images/ui-bg_highlight-soft_33_003147_1x100.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:12:30 +0530] "POST /MobileProj/faces/customerwelcome.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:12:30 +0530] "GET /MobileProj/faces/customerlogin.xhtml HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:12:32 +0530] "GET /MobileProj/faces/index.xhtml HTTP/1.1" 200 2922
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:12:32 +0530] "GET /MobileProj/faces/admin.png HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:12:32 +0530] "GET /MobileProj/faces/login.jpg HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:12:32 +0530] "GET /MobileProj/faces/gray.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:12:33 +0530] "POST /MobileProj/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:12:33 +0530] "GET /MobileProj/faces/adminlogin.xhtml HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:12:45 +0530] "POST /MobileProj/faces/adminlogin.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:12:45 +0530] "GET /MobileProj/faces/adminwelcome.xhtml HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:28:47 +0530] "POST /MobileProj/faces/adminwelcome.xhtml HTTP/1.1" 500 2166
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:29:33 +0530] "GET /MobileProj/faces/index.xhtml HTTP/1.1" 200 3054
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:29:34 +0530] "GET /MobileProj/faces/admin.png;jsessionid=FF50F69D55393E158FC030560962B8D3 HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:29:34 +0530] "GET /MobileProj/faces/login.jpg HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:29:34 +0530] "GET /MobileProj/faces/gray.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:29:34 +0530] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:29:34 +0530] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:29:36 +0530] "POST /MobileProj/faces/index.xhtml;jsessionid=FF50F69D55393E158FC030560962B8D3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:29:36 +0530] "GET /MobileProj/faces/adminlogin.xhtml HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:29:40 +0530] "POST /MobileProj/faces/adminlogin.xhtml HTTP/1.1" 302 -
